n_components,cumulative_variance
348,0.9204622533374848
349,0.9210745161469461
350,0.9216830203848477
351,0.9222881065550237
352,0.9228864740663756
353,0.9234803050207454
354,0.9240690522766165
355,0.9246568250499193
356,0.9252418306250134
357,0.9258230934391125
358,0.9263958150549644
359,0.9269661260324012
360,0.9275342629050265
361,0.9280934824333776
362,0.9286522701374947
363,0.9292073883326836
364,0.9297597320261712
365,0.9303066721185265
366,0.9308524345670139
367,0.9313920113823254
368,0.931927472920206
369,0.9324574831307628
370,0.9329845267666891
371,0.9335061435133272
372,0.9340242578963113
373,0.9345388628484858
374,0.9350501126530802
375,0.9355561315977299
376,0.9360608426040087
377,0.9365591154053174
378,0.9370548345726419
379,0.9375465940232639
380,0.9380378565036647
381,0.9385259080234352
382,0.9390096803661597
383,0.9394896041044578
384,0.939964205836025
385,0.940437488462057
386,0.9409098581332522
387,0.9413777564552132
388,0.9418398342388583
389,0.9422960113399911
390,0.9427502663799551
391,0.9431946816349711
392,0.9436319954037247
393,0.9440683966296335
394,0.9445022758019335
395,0.9449351812510878
396,0.9453589410305663
397,0.9457798976535624
398,0.9461983941984159
399,0.9466160547902505
400,0.9470283407880625
401,0.9474391014059218
402,0.9478465560988086
403,0.9482511642201856
404,0.948651623856875
405,0.9490487226991502
406,0.9494448169578501
407,0.9498353853285302
408,0.9502253101522019
409,0.9506076347767635
410,0.9509874317872126
411,0.9513633567622747
412,0.9517342477198791
413,0.9521048131994767
414,0.9524664255829729
415,0.9528263077148068
416,0.9531852357063254
417,0.9535401537017344
418,0.9538933394449514
419,0.9542428249709426
420,0.9545898990091926
421,0.9549296441587702
422,0.9552662631220165
423,0.9556021083285593
424,0.9559338807023626
425,0.956264700845517
426,0.9565905471095671
427,0.9569153345586745
428,0.9572360116310781
429,0.9575508629042047
430,0.9578635305684092
431,0.958173494300657
432,0.9584819357330151
433,0.9587861227895517
434,0.959086591338575
435,0.9593852973532627
436,0.959682089687576
437,0.9599772924555606
438,0.960268723473659
439,0.96055658751005
440,0.9608426968200462
441,0.9611269850519273
442,0.9614093368515408
443,0.961688598922135
444,0.9619659421028736
445,0.9622411463965757
446,0.9625138902712156
447,0.9627833247700929
448,0.9630503192407225
449,0.9633147271077309
450,0.9635767991024249
451,0.963835462696057
452,0.9640936150718692
453,0.9643487140002187
454,0.9646032437495521
455,0.9648538460956853
456,0.9651007634936805
457,0.965345982965414
458,0.9655895566897443
459,0.9658298918477082
460,0.9660693804132223
461,0.9663078567174256
462,0.9665429727424693
463,0.9667750947542143
464,0.9670059801815447
465,0.9672363571935351
466,0.9674662865536008
467,0.9676947534087134
468,0.9679203561035843
469,0.9681445828656969
470,0.9683648480420075
471,0.9685814884119306
472,0.9687979519897871
473,0.9690114232543793
474,0.969223493107701
475,0.969433227747444
476,0.9696391381891912
477,0.969844002524704
478,0.9700477384597991
479,0.9702491378365582
480,0.9704487360012517
481,0.9706465146642391
482,0.9708440723251044
483,0.9710395174155488
484,0.9712341612767517
485,0.971427604488699
486,0.9716193243379501
487,0.9718076012243999
488,0.9719951424008181
489,0.9721812482946969
490,0.9723660468779276
491,0.9725497480576201
492,0.9727319800095674
493,0.9729123454740551
494,0.9730913856897306
495,0.9732699713251175
496,0.9734462801051279
497,0.9736204879261374
498,0.9737934595472281
499,0.9739649069222911
500,0.9741353735598306
501,0.9743035200533875
502,0.9744703869125849
503,0.9746366885022254
504,0.9748008954299441
505,0.9749640272489081
506,0.9751264914464859
507,0.9752866074675093
508,0.9754465906398777
509,0.975604257984416
510,0.9757610236340478
511,0.9759165725832429
512,0.9760713330831139
513,0.9762257765298228
514,0.9763773428157534
515,0.9765273773188561
516,0.9766756771067908
517,0.9768234239385276
518,0.9769701643036638
519,0.977115314503306
520,0.9772601756257409
521,0.9774041451463215
522,0.9775466305279559
523,0.9776885591638363
524,0.977829866022159
525,0.977970131394848
526,0.9781098265973857
527,0.9782478124699168
528,0.9783837492043266
529,0.9785194867928161
530,0.9786547473043022
531,0.9787892109849122
532,0.9789224666386193
533,0.979055444936987
534,0.9791876789032034
535,0.9793184309030201
536,0.9794479598416447
537,0.9795762840347186
538,0.9797036657621667
539,0.9798298779469187
540,0.9799557113268327
541,0.9800804173902811
542,0.9802041643077473
543,0.9803259536655737
544,0.9804471221945501
545,0.980567563021098
546,0.9806877471630225
547,0.980806580337635
548,0.9809247499551066
549,0.9810421697471159
550,0.9811591362052531
551,0.9812745642290669
552,0.9813892216242507
553,0.9815030023408252
554,0.9816164974434176
555,0.9817289295535032
556,0.9818409676637592
557,0.9819525370128432
558,0.982063785728881
559,0.982174126528027
560,0.982283911820911
561,0.9823927188554931
562,0.9825000797353304
563,0.9826066277670901
564,0.9827127646612259
565,0.9828183045833836
566,0.9829228674942854
567,0.983027154367655
568,0.9831304819908928
569,0.9832330025557935
570,0.9833352342916473
571,0.9834369964796944
572,0.9835375864240282
573,0.9836379418422821
574,0.983737724414151
575,0.9838364364720853
576,0.9839347701706874
577,0.9840325720792485
578,0.9841297323446533
579,0.9842255408806149
580,0.98432104039508
581,0.984416092046718
582,0.9845102734767557
583,0.9846041731133115
584,0.9846971305746368
585,0.9847896103625373
586,0.984881424434335
587,0.9849724092812192
588,0.9850626341397015
589,0.9851523241198217
590,0.9852415307740334
591,0.9853302481846522
592,0.98541862405656
593,0.9855067026185977
594,0.9855937683703444
595,0.9856805756047564
596,0.9857666863520389
597,0.985852510720657
598,0.9859375923789381
599,0.9860222197415843
600,0.9861062763590989
601,0.986189890931154
602,0.9862730369298857
603,0.9863560939585924
604,0.9864389662775305
605,0.9865214253484738
606,0.9866027169715147
607,0.9866832905040883
608,0.9867634204319472
609,0.9868432821589224
610,0.9869228772739791
611,0.9870018110547594
612,0.987080151234352
613,0.9871580589610991
614,0.9872355230340483
615,0.9873122155373348
616,0.9873886701387303
617,0.987465023478735
618,0.987540893806529
619,0.9876160647941316
620,0.987690785010091
621,0.9877650654049754
622,0.9878387581517174
623,0.9879119830855929
624,0.9879848269171116
625,0.9880570947261892
626,0.9881288755074509
627,0.9882001848678665
628,0.9882709946903873
629,0.9883416542970441
630,0.9884120178298431
631,0.9884816431229717
632,0.9885510160846652
633,0.9886201923159839
634,0.9886890188925243
635,0.988757640609069
636,0.9888257330694366
637,0.9888934761044972
638,0.9889610028918061
639,0.9890276497050277
640,0.9890939746879173
641,0.9891600005091411
642,0.9892256825336798
643,0.9892909998888513
644,0.9893560810761577
645,0.9894209018000305
646,0.9894849878685144
647,0.989548793420644
648,0.9896122149026122
649,0.9896749788913765
650,0.9897375758806672
651,0.9897997138857493
652,0.989861736028767
653,0.9899231264252054
654,0.9899841901093577
655,0.9900449781961631
656,0.9901056203067473
657,0.9901654811299747
658,0.9902249209015398
659,0.9902843408572222
660,0.990343329309828
661,0.9904020282134385
662,0.9904605716437606
663,0.9905187406133519
664,0.9905763691204876
665,0.9906338413767035
666,0.9906908084396951
667,0.9907474949018396
668,0.990803802286977
669,0.9908597864993717
670,0.9909156462208426
671,0.9909710865679767
672,0.9910262351274761
673,0.9910811398605006
674,0.9911355182391715
675,0.9911897977497387
676,0.9912438148390917
677,0.9912976372348005
678,0.9913512476603752
679,0.9914046400187941
680,0.9914578367826986
681,0.9915102726621786
682,0.9915624885076569
683,0.9916143645997008
684,0.9916661360794962
685,0.9917173579402667
686,0.9917683584858608
687,0.9918188942708114
688,0.9918693147656734
689,0.9919193381798027
690,0.9919691837470591
691,0.9920188072680042
692,0.9920682044956436
693,0.9921170612757928
694,0.9921658324287672
695,0.9922144353030812
696,0.9922627193526805
697,0.9923107745459988
698,0.992358748472423
699,0.9924066390610717
700,0.9924539947219276
701,0.9925010442990589
702,0.9925479847764744
703,0.9925945855268644
704,0.9926407826221259
705,0.9926867180685222
706,0.9927325900985066
707,0.9927782755941444
708,0.9928236051402326
709,0.992868798802966
710,0.9929137804444024
711,0.9929584837219699
712,0.9930029940670992
713,0.9930473079737643
714,0.993091557065855
715,0.9931356009152568
716,0.9931795845177167
717,0.9932230036716646
718,0.9932662391990333
719,0.9933092695087894
720,0.9933519889766683
721,0.9933945630057261
722,0.993436915601456
723,0.9934791035880978
724,0.9935210596043581
725,0.9935629208268119
726,0.9936043918399601
727,0.9936457591884469
728,0.9936868919242277
729,0.993727663875921
730,0.9937682888112851
731,0.9938086577214674
732,0.9938488953919637
733,0.9938889220080461
734,0.993928842393508
735,0.9939685221182534
736,0.9940080055035339
737,0.994047408120113
738,0.9940865181746577
739,0.9941254015977536
740,0.994164004804879
741,0.9942025592627843
742,0.9942407605391684
743,0.9942787536441698
744,0.9943165493174767
745,0.9943540867453246
746,0.9943915554821948
747,0.9944289461914404
748,0.9944661089649922
749,0.9945029493738321
750,0.9945396722661223
751,0.9945762149997367
752,0.9946126474889746
753,0.9946488951279252
754,0.9946850743843015
755,0.9947211463887705
756,0.9947570586774592
757,0.9947925214481195
758,0.9948278479014006
759,0.9948629439451373
760,0.9948979348187006
761,0.994932921839354
762,0.9949676857363412
763,0.9950021495045419
764,0.9950364876486621
765,0.9950707065338458
766,0.9951047445474405
767,0.9951384515455005
768,0.9951720108958322
769,0.9952054353029567
770,0.995238727879465
771,0.9952718955432251
772,0.9953049480352055
773,0.9953379296699519
774,0.9953706170132921
775,0.9954031198582572
776,0.9954353814430649
777,0.9954674063247162
778,0.9954993665175615
779,0.9955312138242797
780,0.9955628372649376
781,0.9955943978523935
782,0.9956258214200467
783,0.9956569996574441
784,0.9956880970965681
785,0.995719008856153
786,0.9957498686941897
787,0.9957805124764383
788,0.9958110832510498
789,0.9958415387200261
790,0.9958719012022662
