rank,entity,total_mentions,literature,miviludes,interviews
443,prophecy,15,15,0,0
444,charismatic movement,15,15,0,0
445,commune,15,15,0,0
446,nipponzan myohoji,15,15,0,0
447,ramana maharshi,15,15,0,0
448,rpf,15,15,0,0
449,nancy,15,15,0,0
450,sectarian formations,15,4,11,0
451,courts,15,15,0,0
452,nrp,15,15,0,0
453,the new age movement,15,15,0,0
454,nee,15,15,0,0
455,hannah more,15,15,0,0
456,langar,15,15,0,0
457,sectaire,15,0,15,0
458,catholicism,14,13,0,1
459,cultism,14,14,0,0
460,psychology,14,14,0,0
461,the unification church,14,14,0,0
462,schizophrenia,14,14,0,0
463,religious organizations,14,14,0,0
464,prophetic movements,14,14,0,0
465,adherents,14,14,0,0
466,fundamentalism,14,14,0,0
467,cargo cults,14,14,0,0
468,humanity,14,14,0,0
469,movement for the restoration of the ten commandments,14,14,0,0
470,denominations,14,14,0,0
471,salvation,14,14,0,0
472,academics,14,14,0,0
473,politicians,14,14,0,0
474,spirits,14,14,0,0
475,psychosis,14,14,0,0
476,sai,14,14,0,0
477,oneida community,14,14,0,0
478,moral panic,14,14,0,0
479,j. z. knight,14,14,0,0
480,opus dei,14,14,0,0
481,karma,14,14,0,0
482,a course in miracles,14,14,0,0
483,crowley,14,14,0,0
484,moorish science temple,14,14,0,0
485,church of the twelve apostles,14,14,0,0
486,jesus army,14,14,0,0
487,mrtcg,14,14,0,0
488,myochikai,14,14,0,0
489,bhagwan rajneesh,14,14,0,0
490,true teachings of christ's temple,14,14,0,0
491,latter-day saints,14,14,0,0
492,perception,14,13,0,1
493,mysticism,14,14,0,0
494,sectarian drifts,14,1,13,0
495,jihadism,14,14,0,0
496,focolare movement,14,14,0,0
497,black bear,14,14,0,0
498,aunt eva,14,14,0,0
499,brent,14,14,0,0
500,wolo,14,14,0,0
501,funeral ritual,14,14,0,0
502,james stephen,14,14,0,0
503,buxton,14,14,0,0
504,cultes,14,0,14,0
505,sectes,13,5,8,0
506,cultists,13,13,0,0
507,erikson,13,13,0,0
508,sociology,13,13,0,0
509,cult controversy,13,13,0,0
510,pentecostals,13,13,0,0
511,myths,13,13,0,0
512,bromley,13,13,0,0
513,marriage,13,12,0,1
514,universal life church,13,13,0,0
515,police,13,13,0,0
516,catastrophic millennialism,13,13,0,0
517,dawson,13,13,0,0
518,conflict,13,13,0,0
519,belgium,13,13,0,0
520,apa,13,13,0,0
521,teachers,13,13,0,0
522,believers,13,13,0,0
523,culture,13,13,0,0
524,communities,13,13,0,0
525,feminist,13,13,0,0
526,movement for the restoration of the ten commandments of god,13,13,0,0
527,first amendment,13,13,0,0
528,jesus christ,13,13,0,0
529,gardner,13,13,0,0
530,practices,13,13,0,0
531,catastrophic millennialists,13,13,0,0
532,true believers,13,13,0,0
533,cognitive-behavioral therapy,13,13,0,0
534,polygamy,13,13,0,0
535,berg,13,13,0,0
536,buddha,13,13,0,0
537,campus crusade for christ,13,13,0,0
538,fellowship of isis,13,13,0,0
539,god is love,13,13,0,0
540,hizbollah,13,13,0,0
541,jung,13,13,0,0
542,konkokyo,13,13,0,0
543,makiguchi tsunesaburo,13,13,0,0
544,toda josei,13,13,0,0
545,the process church,13,13,0,0
546,messiah,13,13,0,0
547,universelles leben,13,13,0,0
548,vhp,13,13,0,0
549,law enforcement agents,13,13,0,0
550,nardec,13,13,0,0
551,slavery,13,13,0,0
552,religious experiences,13,13,0,0
553,material mediation,13,13,0,0
554,hans maharaj ji,13,13,0,0
555,stephen,13,13,0,0
556,sufi shrine,13,13,0,0
557,anthony,12,12,0,0
558,alternative religions,12,12,0,0
559,west,12,12,0,0
560,internet users,12,12,0,0
561,church of all worlds,12,12,0,0
562,religious liberty,12,12,0,0
563,press,12,12,0,0
564,chen tao,12,12,0,0
565,judicial system,12,12,0,0
566,social control,12,12,0,0
567,legal system,12,12,0,0
568,social scientists,12,12,0,0
569,american psychological association,12,12,0,0
570,adfi,12,12,0,0
571,islamism,12,12,0,0
572,anthroposophy,12,12,0,0
573,authority,12,12,0,0
574,religious movement,12,12,0,0
575,enlightenment,12,12,0,0
576,caodai,12,12,0,0
577,osama bin laden,12,12,0,0
578,muslim brotherhood,12,12,0,0
579,canada,12,12,0,0
580,cult-defender groups,12,12,0,0
581,rogs,12,12,0,0
582,power,12,12,0,0
583,mount carmel,12,12,0,0
584,mrtc,12,12,0,0
585,spiritual,12,12,0,0
586,patient,12,12,0,0
587,olivia,12,12,0,0
588,tradition,12,12,0,0
589,flirty fishing,12,12,0,0
590,money,12,11,0,1
591,love,12,12,0,0
592,mra,12,12,0,0
593,umbanda,12,11,0,1
594,religious,12,12,0,0
595,ascended masters,12,12,0,0
596,agonshu,12,12,0,0
597,mason,12,12,0,0
598,helena blavatsky,12,12,0,0
599,josé francisco da cruz,12,12,0,0
600,druidry,12,12,0,0
601,earth people,12,12,0,0
602,unified buddhist church of vietnam,12,12,0,0
603,grail movement,12,12,0,0
604,implicit religion,12,12,0,0
605,legio maria,12,12,0,0
606,prinerms,12,12,0,0
607,process church of the final judgement,12,12,0,0
608,word of faith movement,12,12,0,0
609,kenneth hagin,12,12,0,0
610,christian reconstruction,12,12,0,0
611,nichiren shoshu of america,12,12,0,0
612,evangelicals,12,12,0,0
613,maharaj ji,12,12,0,0
614,concerned relatives,12,12,0,0
615,claude vorilhon,12,12,0,0
616,occulture,12,12,0,0
