entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
routledge and kegan paul,routledge and kegan paul,35,0.8466475682820432,0.5466874364911604
heelas,heelas,25,0.8708867877224361,0.5042249305469699
social compass,social compass,35,0.7458381898412629,0.6661520170244046
church of satan,church of satan,15,0.6250834162666692,0.7824534083076423
anton lavey,anton lavey,35,0.8894251689170529,0.4914233790044491
rosemary's baby,rosemary's baby,37,0.81826946534985,0.5974837872834936
neo-pagan,neo-pagan,31,0.606298410022159,0.7984766853826681
giddens,giddens,25,0.8783973583001093,0.49357595677284727
hunter,hunter,25,0.8206073092351212,0.5731609403269303
wallis,wallis,35,0.8766934361758331,0.5081565985798567
max weber,max weber,36,0.8369491385408752,0.5602029444332042
mormons,mormons,2,0.6798527084407593,0.7405775504628306
christian scientists,christian scientists,14,0.48641725626871457,0.8762947824310017
stewart,stewart,35,0.8865145719469386,0.49527005318353867
simmonds,simmonds,35,0.8635804797222967,0.5251376822833399
stark,stark,25,0.8522218482313438,0.5302938200630817
bellah,bellah,24,0.8754620499018176,0.5034524351716405
tipton,tipton,35,0.8819863045627074,0.5012291726959215
christian,christian,14,0.7137836235986046,0.7076920021852307
new christian right,new christian right,39,0.6743401234784165,0.7388836672187906
catholic church,catholic church,2,0.7155856917556443,0.7110305813159437
protestant denominations,protestant denominations,42,0.8007627212170148,0.608716897679763
children of god,children of god,30,0.5277283725252833,0.8547075259825246
krishna consciousness,krishna consciousness,5,0.5914491055102211,0.8114709833438798
the unification church,the unification church,27,0.3604526260725036,0.9520301058993351
silva mind control,silva mind control,43,0.7711130744000777,0.6389048743751078
hare krishna,hare krishna,5,0.6880959010771829,0.725638688988577
durkheim,durkheim,25,0.8487417303313223,0.5350920908778309
krishna,krishna,5,0.7159506420231525,0.6984939544869355
robertson,robertson,35,0.8955656187887623,0.48326699097566267
christian fundamentalism,christian fundamentalism,39,0.767353121084603,0.6448115326244425
europeans,europeans,36,0.7490919646992564,0.6626877166745233
shambhala,shambhala,25,0.7667817438274,0.642416483232057
bainbridge,bainbridge,35,0.8635405465165364,0.5251892910358206
william s. bainbridge,william s. bainbridge,35,0.8959451062804884,0.48276127740081337
science,science,14,0.6786052532265532,0.7379558233776629
metaphysical,metaphysical,34,0.6916395522266455,0.7232172218854545
baha'i faith,baha'i faith,24,0.7290639104284456,0.6856826829938469
theosophical society,theosophical society,34,0.5012533012559126,0.8888248012793096
tm,tm,35,0.8272058757930593,0.570904285225629
iskcon,iskcon,5,0.7174506110159163,0.6970015543888957
baha'is,baha'is,24,0.6890271336049777,0.7297282056181533
baha'u'llah,baha'u'llah,24,0.7418320216364153,0.6711130477573126
theosophists,theosophists,34,0.6033539925120356,0.8065854841836723
h. p. blavatsky,h. p. blavatsky,35,0.8277923345974391,0.5701820180529193
the secret doctrine,the secret doctrine,37,0.6968853567466875,0.718412237742307
unitarianism,unitarianism,27,0.7513062703000121,0.66672912891231
aetherius society,aetherius society,34,0.7385339259930755,0.6743121315015586
george king,george king,35,0.863798878768256,0.5248574137636872
maharishi mahesh yogi,maharishi mahesh yogi,17,0.7540876173190353,0.6581600417682087
raelian religion,raelian religion,6,0.49903268454736766,0.8750159056208666
rael,rael,6,0.7432507752961741,0.6737844933757935
elohim,elohim,24,0.844228228246403,0.5451210819120078
hare krishna movement,hare krishna movement,5,0.6388548633211074,0.7709901699477808
bhaktivedanta swami prabhupada,bhaktivedanta swami prabhupada,25,0.8180804131318311,0.5765169966019852
christian groups,christian groups,32,0.6571082840228477,0.7548778498298649
james lewis,james lewis,35,0.8549286516071725,0.5362018494147267
macumba,macumba,25,0.8155869704718038,0.5798191732370375
candomble,candomble,35,0.8086249340286873,0.5935232237039864
roy wallis,roy wallis,25,0.8791603195273445,0.492489468843629
catholicism,catholicism,32,0.7483190894242152,0.6651695793345963
shinto,shinto,26,0.737670104966192,0.6796159076803918
japan,japan,25,0.791292160219989,0.6114619560584598
dalai lama,dalai lama,36,0.7897231125028579,0.6167026884997362
george chryssides,george chryssides,35,0.913839356789633,0.45866197081616455
science of creative intelligence,science of creative intelligence,35,0.787746302283443,0.6183255756991112
e-meter,e-meter,25,0.8388320762196436,0.5486472172973702
l. ron hubbard,l. ron hubbard,35,0.7628480910790567,0.6470550604881133
damanhur,damanhur,25,0.8762683273415567,0.49660344354836905
maharishi international university,maharishi international university,25,0.8538903286655763,0.5279867490651002
maharishi,maharishi,25,0.7983814166965609,0.6023273585445184
venus,venus,35,0.8313491520240736,0.5657907178001822
