concept_id,concept_en,gloss_en,total_mentions,literature_mentions,miviludes_mentions,interviews_mentions,n_corpora,is_generic
sc_0184,growth,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,171,171,0,0,1,true
sc_0185,healing,the natural process by which the body repairs itself,169,169,0,0,1,true
sc_0186,critical,marked by a tendency to find and call attention to errors and flaws,167,165,2,0,2,true
sc_0187,definition,a concise explanation of the meaning of a word or phrase or symbol,167,164,2,1,3,true
sc_0188,interest,a sense of concern with and curiosity about someone or something,167,167,0,0,1,true
sc_0189,attention,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,167,162,4,1,3,true
sc_0190,values,beliefs of a person or social group in which they have an emotional investment (either for or against something),167,166,1,0,2,true
sc_0191,fact,a piece of information about circumstances that exist or events that have occurred,166,163,1,2,3,true
sc_0192,end,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it,166,165,1,0,2,true
sc_0193,party,an organization to gain political power,166,166,0,0,1,true
sc_0194,christ,any expected deliverer,166,166,0,0,1,true
sc_0195,idea,the content of cognition; the main thing you are thinking about,165,163,0,2,2,true
sc_0196,free,people who are free,165,165,0,0,1,true
sc_0197,action,something done (usually as opposed to something said),164,161,3,0,2,true
sc_0198,problem,a state of difficulty that needs to be resolved,163,163,0,0,1,true
sc_0199,west,the cardinal compass point that is at 270 degrees,162,162,0,0,1,true
sc_0200,ideology,an orientation that characterizes the thinking of a group or nation,161,158,0,3,2,true
sc_0201,special,a special offering (usually temporary and at a reduced price) that is featured in advertising,161,158,0,3,2,true
sc_0202,key,a solution or remedy for a difficult problem,160,158,2,0,2,true
sc_0203,court,Australian woman tennis player who won many major championships (born in 1947),160,160,0,0,1,true
sc_0204,meaning,the message that is intended or expressed or signified,159,157,2,0,2,true
sc_0205,book,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina,159,159,0,0,1,true
sc_0206,focus,the concentration of attention or energy on something,159,159,0,0,1,true
sc_0207,organized,"formed into a structured or coherent whole, particularly on a large scale",158,157,1,0,2,true
sc_0208,position,a way of regarding situations or topics etc.,157,155,2,0,2,true
sc_0209,question,an instance of questioning,157,150,6,1,3,true
sc_0210,result,a phenomenon that follows and is caused by some previous phenomenon,156,156,0,0,1,true
sc_0211,similar,marked by correspondence or resemblance,154,151,2,1,3,true
sc_0212,unification,the state of being joined or united or linked,153,153,0,0,1,true
sc_0213,literature,creative writing of recognized artistic value,153,153,0,0,1,true
sc_0214,name,a language unit by which a person or thing is known,153,151,0,2,2,true
sc_0215,child,a young person of either sex,152,152,0,0,1,true
sc_0216,suicide,the act of killing yourself,151,151,0,0,1,true
sc_0217,scientific,of or relating to the practice of science,151,150,1,0,2,true
sc_0218,real,an old small silver Spanish coin,151,150,1,0,2,true
sc_0219,find,a productive insight,151,150,0,1,2,true
sc_0220,branch,a division of some larger or more complex organization,150,150,0,0,1,true
sc_0221,secular,someone who is not a clergyman or a professional person,150,150,0,0,1,true
sc_0222,love,a strong positive emotion of regard and affection,150,150,0,0,1,true
sc_0223,esoteric,confined to and understandable by only an enlightened inner circle,149,144,5,0,2,true
sc_0224,worship,the activity of worshipping,148,148,0,0,1,true
sc_0225,man,the generic use of the word to refer to any human being,148,146,2,0,2,true
sc_0226,existence,the state or fact of existing,147,146,1,0,2,true
sc_0227,basic,a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use,147,147,0,0,1,true
sc_0228,later,at or toward an end or late period or stage of development,147,146,1,0,2,true
sc_0229,help,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,147,147,0,0,1,true
sc_0230,far,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again,146,145,0,1,2,true
sc_0231,milieu,the environmental condition,146,144,2,0,2,true
sc_0232,collective,members of a cooperative enterprise,146,145,0,1,2,true
sc_0233,class,a collection of things sharing a common attribute,145,142,3,0,2,true
sc_0234,gate,total admission receipts at a sports event,145,145,0,0,1,true
sc_0235,past,a verb tense that expresses actions or states in the past,145,145,0,0,1,true
sc_0236,teaching,the profession of a teacher,145,144,1,0,2,true
sc_0237,current,a flow of electricity through a conductor,144,143,1,0,2,true
sc_0238,perspective,a way of regarding situations or topics etc.,142,142,0,0,1,true
sc_0239,extreme,the furthest or highest degree of something,142,139,1,2,3,true
sc_0240,material,information (data or ideas or observations) that can be used or reworked into a finished form,142,142,0,0,1,true
sc_0241,future,a verb tense that expresses actions or states in the future,141,138,1,2,3,true
sc_0242,islamic,of or relating to or supporting Islamism,141,141,0,0,1,true
sc_0243,lack,the state of needing something that is absent or unavailable,140,137,1,2,3,true
sc_0244,following,a group of followers or enthusiasts,139,135,0,4,2,true
sc_0245,source,a document (or organization) from which information is obtained,139,138,1,0,2,true
sc_0246,satanic,of or relating to Satan,139,139,0,0,1,true
sc_0247,organizational,of or relating to an organization,138,138,0,0,1,true
sc_0248,white,a person of European descent with a light-skinned or pale complexion,137,131,0,6,2,true
sc_0249,satanism,a belief in and reverence for devils (especially Satan),137,137,0,0,1,true
sc_0250,french,the Romance language spoken in France and in countries colonized by France,136,135,1,0,2,true
sc_0251,recruitment,the act of getting recruits; enlisting people for the army (or for a job or a cause etc.),136,135,1,0,2,true
sc_0252,open,information that has become public,136,135,0,1,2,true
sc_0253,concern,something that interests you because it is important or affects you,135,132,3,0,2,true
sc_0254,sex,activities associated with sexual intercourse,135,134,1,0,2,true
sc_0255,greater,greater in size or importance or degree,135,135,0,0,1,true
sc_0256,transformation,(mathematics) a function that changes the position or direction of the axes of a coordinate system,134,134,0,0,1,true
sc_0257,male,a person who belongs to the sex that cannot have babies,134,134,0,0,1,true
sc_0258,act,a legal document codifying the result of deliberations of a committee or society or legislative body,133,133,0,0,1,true
sc_0259,variety,a collection containing a variety of sorts of things,133,133,0,0,1,true
sc_0260,consciousness,an alert cognitive state in which you are aware of yourself and your situation,133,132,0,1,2,true
sc_0261,direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short,133,133,0,0,1,true
sc_0262,network,an interconnected system of things or people,133,130,3,0,2,true
sc_0263,making,the act that results in something coming to be,133,133,0,0,1,true
sc_0264,authorities,the organization that is the governing authority of a political unit,132,130,2,0,2,true
sc_0265,basis,a relation that provides the foundation for something,132,132,0,0,1,true
sc_0266,continued,without stop or interruption,132,132,0,0,1,true
sc_0267,period,the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause,132,132,0,0,1,true
sc_0268,female,a person who belongs to the sex that can have babies,132,132,0,0,1,true
sc_0269,type,a subdivision of a particular kind of thing,131,122,8,1,3,true
sc_0270,course,education imparted in a series of lessons or meetings,131,131,0,0,1,true
sc_0271,external,outward features,130,130,0,0,1,true
sc_0272,possible,something that can be done,130,126,3,1,3,true
sc_0273,due,that which is deserved or owed,130,127,3,0,2,true
sc_0274,majority,the property resulting from being or relating to the greater in number of two parts; the main part,130,129,0,1,2,true
sc_0275,historical,of or relating to the study of history,130,130,0,0,1,true
sc_0276,related,being connected either logically or causally or by shared characteristics,129,128,0,1,2,true
sc_0277,buddhism,a religion represented by the many groups (especially in Asia) that profess various forms of the Buddhist doctrine and that venerate Buddha,129,128,1,0,2,true
sc_0278,health,a healthy state of wellbeing free from disease,128,128,0,0,1,true
sc_0279,independent,a neutral or uncommitted person (especially in politics),128,128,0,0,1,true
sc_0280,degree,a position on a scale of intensity or amount or quality,128,128,0,0,1,true
sc_0281,year,a body of students who graduate together,128,128,0,0,1,true
sc_0282,pagan,a person who does not acknowledge your god,127,127,0,0,1,true
sc_0283,salvation,(theology) the act of delivering from sin or saving from evil,127,127,0,0,1,true
sc_0284,able,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something,126,126,0,0,1,true
sc_0285,whole,all of something including all its component elements or parts,126,124,0,2,2,true
sc_0286,relations,mutual dealings or connections or communications among persons or groups,126,119,7,0,2,true
sc_0287,cause,a justification for something existing or happening,126,122,4,0,2,true
sc_0288,offer,the verbal act of offering,125,125,0,0,1,true
sc_0289,conventional,following accepted customs and proprieties,125,125,0,0,1,true
sc_0290,join,a set containing all and only the members of two or more given sets,125,120,1,4,3,true
sc_0291,clear,the state of being free of suspicion,124,122,1,1,3,true
sc_0292,successful,having succeeded or being marked by a favorable outcome,124,123,0,1,2,true
sc_0293,millennial,relating to a millennium or span of a thousand years,124,124,0,0,1,true
sc_0294,training,activity leading to skilled behavior,123,121,2,0,2,true
sc_0295,tension,(psychology) a state of mental or emotional strain or suspense,123,123,0,0,1,true
sc_0296,inner,located or occurring within or closer to a center,123,123,0,0,1,true
sc_0297,necessary,absolutely essential,122,120,2,0,2,true
sc_0298,leave,permission to do something,122,120,1,1,3,true
sc_0299,word,a unit of language that native speakers can identify,122,108,0,14,2,true
sc_0300,presence,the state of being present; current existence,122,122,0,0,1,true
sc_0301,evangelical,relating to or being a Christian church believing in personal conversion and the inerrancy of the Bible especially the 4 Gospels,122,121,0,1,2,true
sc_0302,report,a written document describing the findings of some individual or group,121,121,0,0,1,true
