rank,entity,total_mentions,literature,miviludes,interviews
721,sekte,1,0,0,1
722,kirchensteuer,1,0,0,1
723,zeugen jehovas,1,0,0,1
724,alawites,1,0,0,1
725,sunnis,1,0,0,1
726,shia,1,0,0,1
727,buddhafield cult,1,0,0,1
728,gomez,1,0,0,1
729,holy hell,1,0,0,1
730,botox,1,0,0,1
731,archangels,1,0,0,1
732,the cult of satan,1,0,0,1
733,the cult of the archangels,1,0,0,1
734,mk ultra,1,0,0,1
735,brian jones,1,0,0,1
736,cold war paranoia,1,0,0,1
737,religious cults in turkey,1,0,0,1
738,fethullah gülen,1,0,0,1
739,menzil,1,0,0,1
740,east side of turkey,1,0,0,1
741,gourou,1,0,0,1
742,groupe,1,0,0,1
743,la secte de raël,1,0,0,1
744,les témoins de jéhovah,1,0,0,1
745,les illuminati,1,0,0,1
746,le truc de raël,1,0,0,1
747,une secte.,1,0,0,1
748,on va pas citer une secte en particulier,1,0,0,1
749,turkish religious cults,1,0,0,1
750,nakşibendi,1,0,0,1
751,süleymancilar,1,0,0,1
752,shi'a muslims,1,0,0,1
753,ziad rahbani,1,0,0,1
